char,charname,birthname,types,universes,birthplace,superpowers,religions,gender,occupation,memberof
http://www.wikidata.org/entity/Q2624390,Blink,Clarice Ferguson,"film character, television character, animated character, mutant",Marvel Universe,,teleportation,,,,
http://www.wikidata.org/entity/Q2071256,Polaris,Lorna Dane,"television character, animated character, mutant","Earth-616, Marvel Universe",,magnetism manipulation,,,,
http://www.wikidata.org/entity/Q180704,Iron Man,Anthony Edward Stark,"film character, fictional human, comics character","Earth-616, Marvel Universe",,"flight, superhuman strength",,,,
http://www.wikidata.org/entity/Q744104,Sasquatch,Walter Langkowski,"mutate, comics character",Marvel Universe,,"superhuman durability, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q996154,Wolfsbane,Rahne Sinclair,"werewolf in a work of fiction, film character, animated character, mutant","Earth-616, Marvel Universe",,"superhuman senses, superhuman speed, superhuman strength, lycanthropy, healing factor",,,,
http://www.wikidata.org/entity/Q2297765,Tiger Shark,Todd Arliss,"mutate, comics character",Marvel Universe,,"waterbreathing, superhuman durability, superhuman strength",,,,
http://www.wikidata.org/entity/Q2917078,Mac Gargan,MacDonald Gargan,"animated character, mutate","Earth-616, Marvel Universe",,"superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q4003147,Ultimate Cyclops,Scott Summers,mutant,Marvel Universe,,optic blasts,,,,
http://www.wikidata.org/entity/Q19398,Nova,Frankie Raye,"mutate, comics character",Marvel Universe,,"energy manipulation, flight, pyrokinesis",,,,
http://www.wikidata.org/entity/Q5532787,Genesis,Tyler Dayspring,mutant,Marvel Universe,,telepathy,,,,
http://www.wikidata.org/entity/Q2275950,Shatterstar,Gaveedra Seven,"film character, mutant","Mojoverse, Earth-616, Marvel Universe",,"superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q546340,Thunderbird,John Proudstar,"television character, animated character, mutant",Marvel Universe,,"superhuman durability, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q3481293,Shaman,Michael Twoyoungmen,"fictional human, comics character","Earth-616, Marvel Universe",,levitation,,,,
http://www.wikidata.org/entity/Q60002,Colossus,Пётр Николаевич Распутин,"CGI character, film character, animated character, mutant","Earth-616, Marvel Universe",,"inorganic, superhuman durability, superhuman strength",,,,
http://www.wikidata.org/entity/Q3837487,Red Lotus,Paul Hark,"film character, mutant",Marvel Universe,,"superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q1779361,Harry Osborn,Harold Theopolis Osborn,"film character, animated character, mutate","Earth-616, Marvel Universe",,"superhuman durability, superhuman speed, superhuman strength, healing factor",,,,
http://www.wikidata.org/entity/Q865017,Mister Fantastic,Reed Richards,"film character, animated character, mutate","Earth-616, Marvel Universe",,elasticity,,,,
http://www.wikidata.org/entity/Q858901,Cassandra Nova,Cassandra Xavier,comics character,Marvel Universe,,"intangibility, telepathy",,,,
http://www.wikidata.org/entity/Q48947511,Ultimate Iceman,Robert Drake,mutant,Marvel Universe,,cryokinesis,,,,
http://www.wikidata.org/entity/Q4003146,Ultimate Beast,Henry McCoy,mutant,Marvel Universe,,"enhanced smell, superhuman agility / reflexes, superhuman speed, superhuman strength",,,,
http://www.wikidata.org/entity/Q2267017,Cable,Nathan Christopher Charles Summers,"cyborg in a work of fiction, film character, animated character, mutant","Earth-616, Marvel Universe",,"technopathy, telekinesis, telepathy",,,,
http://www.wikidata.org/entity/Q836748,Johnny Blaze,John Blaze,"film character, comics character",Marvel Universe,,"immortality, superhuman strength, pyrokinesis, healing factor",,,,
http://www.wikidata.org/entity/Q2568013,High Evolutionary,Herbert Edgar Wyndham,"mutate, comics character",Marvel Universe,,"technopathy, clairvoyance, astral projection, telekinesis, telepathy",,,,
